"","Date_Date","Sheet.Name","Daily_New_Cases","Cases_White","Cases_Black","Deaths_White","Deaths_Black","cases_per_pop","cases_per_pop_white","cases_per_pop_black","cases_per_pop_latinx","cases_per_pop_asian","cases_per_pop_aian","cases_per_pop_hnpi","cases_per_pop_multi","cases_per_pop_other","cases_per_pop_hispanic","cases_per_pop_nonhispanic","deaths_per_pop","deaths_per_pop_white","deaths_per_pop_black","deaths_per_pop_latinx","deaths_per_pop_asian","deaths_per_pop_aian","deaths_per_pop_hnpi","deaths_per_pop_multi","deaths_per_pop_other","deaths_per_pop_hispanic","deaths_per_pop_nonhispanic","case_fatality","case_fatality_white","case_fatality_black","case_fatality_latinx","case_fatality_asian","case_fatality_aian","case_fatality_hnpi","case_fatality_multi","case_fatality_other","case_fatality_hispanic","case_fatality_nonhispanic"
"1",2020-06-03,"MIDetroit",NA,637,7278,94,1127,1642.01696805015,914.402193416878,1372.3401246382,NA,NA,NA,NA,NA,23874.8627881449,NA,NA,203.941490500698,134.935331524626,212.507188852329,NA,NA,NA,NA,NA,2579.58287596048,NA,NA,12.42,14.756671899529,15.4850233580654,NA,NA,NA,NA,NA,10.8045977011494,NA,NA
"2",2020-06-04,"MIDetroit",26,639,7301,94,1133,1645.85656164394,917.273157917402,1376.67700604335,NA,NA,NA,NA,NA,24094.4017563117,NA,NA,205.12290391417,134.935331524626,213.63854921889,NA,NA,NA,NA,NA,2634.4676180022,NA,NA,12.46,14.7104851330203,15.5184221339543,NA,NA,NA,NA,NA,10.9339407744875,NA,NA
"3",2020-06-05,"MIDetroit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-06-06,"MIDetroit",NA,637,7352,93,1146,1655.01251559835,914.402193416878,1386.29356915912,NA,NA,NA,NA,NA,24149.2864983535,NA,NA,206.599670681011,133.499849274364,216.089830013105,NA,NA,NA,NA,NA,2579.58287596048,NA,NA,12.48,14.5996860282575,15.5875952121872,NA,NA,NA,NA,NA,10.6818181818182,NA,NA
"5",2020-06-07,"MIDetroit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-06-08,"MIDetroit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-06-09,"MIDetroit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-06-10,"MIDetroit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-06-11,"MIDetroit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-06-12,"MIDetroit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
