Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031
"04013","05000US04013","Maricopa County","Maricopa County, Arizona","az","050","00","ACSSF","0000020",,,,,"04","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253913,4253913,3301814,232690,82699,176740,9405,296569,153996,4253913,2942822,2368876,220519,67454,172890,8337,6437,98309,1311091,932938,12171,15245,3850,1068,290132,55687,4253913,2942822,2368876,220519,67454,172890,8337,6437,98309,1311091,4253913,2942822,1311091,1152230,30265,11196,3866,36660,1756,16394,3601,2173,1320,10890,526,20892,2183,602,1315,6797,2983,174,4373,319,1813,333,55982,16344,11075,191,28372
"04019","05000US04019","Pima County","Pima County, Arizona","az","050","00","ACSSF","0000023",,,,,"04","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019722,1019722,777452,35973,38200,29475,1610,88847,48165,1019722,642896,531149,32824,25076,28133,1374,1180,23160,376826,246303,3149,13124,1342,236,87667,25005,1019722,642896,531149,32824,25076,28133,1374,1180,23160,376826,1019722,642896,376826,340290,7462,2021,849,5375,423,1608,788,556,424,1576,0,4293,191,244,606,1036,290,71,945,68,720,122,16536,4601,4191,65,7679
"06001","05000US06001","Alameda County","Alameda County, California","ca","050","00","ACSSF","0000013",,,,,"06","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643700,1643700,681725,177135,10712,486434,13768,169771,104155,1643700,1274639,523391,172329,5288,483067,13192,4977,72395,369061,158334,4806,5424,3367,576,164794,31760,1643700,1274639,523391,172329,5288,483067,13192,4977,72395,369061,1643700,1274639,369061,274265,11852,3285,731,47652,595,13352,3049,6341,1029,23149,137,13379,1456,912,1653,2994,846,58,4334,227,763,136,17897,6389,5308,98,6102
"06037","05000US06037","Los Angeles County","Los Angeles County, California","ca","050","00","ACSSF","0000031",,,,,"06","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10098052,10098052,5186859,823987,70527,1469968,27929,2121102,397680,10098052,5204449,2659052,795505,20307,1451560,24821,29924,223280,4893603,2527807,28482,50220,18408,3108,2091178,174400,10098052,5204449,2659052,795505,20307,1451560,24821,29924,223280,4893603,10098052,5204449,4893603,3716024,45178,40402,5859,813030,10204,270589,48887,41568,5070,427674,9038,128440,19249,5416,8658,29295,20700,431,37322,1394,4509,1466,144670,31312,18590,429,94339
"06053","05000US06053","Monterey County","Monterey County, California","ca","050","00","ACSSF","0000039",,,,,"06","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433212,433212,256709,11200,3221,24342,2011,117386,18343,433212,180624,131238,10606,1046,23647,1963,530,11594,252588,125471,594,2175,695,48,116856,6749,433212,180624,131238,10606,1046,23647,1963,530,11594,252588,433212,180624,252588,235557,2367,308,19,8394,62,904,686,381,420,5919,22,1737,462,28,153,439,93,95,361,18,88,0,4206,1437,766,167,1836
"06059","05000US06059","Orange County","Orange County, California","ca","050","00","ACSSF","0000042",,,,,"06","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164182,3164182,1950902,54732,14466,635672,9442,370679,128289,3164182,2083987,1296036,50412,6348,629637,8541,5881,87132,1080195,654866,4320,8118,6035,901,364798,41157,3164182,2083987,1296036,50412,6348,629637,8541,5881,87132,1080195,3164182,2083987,1080195,925437,13055,8940,1002,61754,2817,18372,4676,4112,993,28651,2133,38263,6278,2392,2851,8630,4053,145,10045,740,1212,1917,31744,11118,7692,210,12724
"06083","05000US06083","Santa Barbara County","Santa Barbara County, California","ca","050","00","ACSSF","0000054",,,,,"06","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443738,443738,344026,8626,4389,23863,814,42024,19996,443738,243678,199356,7881,1407,22996,482,604,10952,200060,144670,745,2982,867,332,41420,9044,443738,243678,199356,7881,1407,22996,482,604,10952,200060,443738,243678,200060,183557,1593,525,52,5086,225,1739,539,195,77,2299,12,3477,642,173,607,843,216,61,786,25,54,70,5770,1810,1105,49,2806
"06087","05000US06087","Santa Cruz County","Santa Cruz County, California","ca","050","00","ACSSF","0000056",,,,,"06","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273765,273765,208476,2596,1375,12601,316,35546,12855,273765,182089,157540,2359,360,12116,168,554,8992,91676,50936,237,1015,485,148,34992,3863,273765,182089,157540,2359,360,12116,168,554,8992,91676,273765,182089,91676,81122,908,226,218,3591,81,576,75,326,37,2479,17,1445,393,29,71,286,81,26,263,32,121,143,4166,1691,979,8,1488
"06111","05000US06111","Ventura County","Ventura County, California","ca","050","00","ACSSF","0000068",,,,,"06","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848112,848112,680197,14835,7069,61772,1771,44907,37561,848112,488095,388301,13677,2299,60242,1406,1016,21154,360017,291896,1158,4770,1530,365,43891,16407,848112,488095,388301,13677,2299,60242,1406,1016,21154,360017,848112,488095,360017,322089,3409,1493,199,15343,608,4624,1221,1711,195,6819,165,8183,1581,229,647,2022,807,166,2079,136,256,260,9301,3718,2222,20,3341
"08031","05000US08031","Denver County","Denver County, Colorado","co","050","00","ACSSF","0000029",,,,,"08","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693417,693417,530278,64881,6833,26143,1033,39531,24718,693417,483558,372710,62617,3359,25698,835,1455,16884,209859,157568,2264,3474,445,198,38076,7834,693417,483558,372710,62617,3359,25698,835,1455,16884,209859,693417,483558,209859,166609,4067,1588,454,8684,331,2111,1893,206,219,3880,44,5674,597,121,412,1216,504,15,1689,49,1008,63,22783,6908,5590,569,9716
