Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031
"514726035000","32100US514726035000","Hampton city; Virginia Beach-Norfolk-Newport News","Hampton city; Virginia Beach-Norfolk-Newport News, VA-NC Metro Area (part); Virginia","va","321","00","ACSSF","0010714",,,,,"51",,,"35000",,,,,,,,,,,"47260",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,135583,135583,56166,68038,725,3490,203,2394,4567,135583,127984,52397,66901,601,3423,169,671,3822,7599,3769,1137,124,67,34,1723,745,135583,127984,52397,66901,601,3423,169,671,3822,7599,135583,127984,7599,2105,3292,325,306,939,39,32,250,0,328,290,0,364,33,0,10,161,45,0,109,0,6,0,268,180,44,0,44
"514726056000","32100US514726056000","Newport News city; Virginia Beach-Norfolk-Newport News","Newport News city; Virginia Beach-Norfolk-Newport News, VA-NC Metro Area (part); Virginia","va","321","00","ACSSF","0010715",,,,,"51",,,"56000",,,,,,,,,,,"47260",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,180145,180145,87026,73725,426,5695,366,3729,9178,180145,164347,78214,71563,356,5626,327,968,7293,15798,8812,2162,70,69,39,2761,1885,180145,164347,78214,71563,356,5626,327,968,7293,15798,180145,164347,15798,5744,4683,752,717,2192,35,522,731,95,529,255,25,992,37,38,44,293,212,0,304,0,64,0,718,252,191,0,275
"514726057000","32100US514726057000","Norfolk city; Virginia Beach-Norfolk-Newport News","Norfolk city; Virginia Beach-Norfolk-Newport News, VA-NC Metro Area (part); Virginia","va","321","00","ACSSF","0010716",,,,,"51",,,"57000",,,,,,,,,,,"47260",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,245592,245592,115443,102117,1006,9063,161,7254,10548,245592,226233,106733,100369,811,8765,100,785,8670,19359,8710,1748,195,298,61,6469,1878,245592,226233,106733,100369,811,8765,100,785,8670,19359,245592,226233,19359,6525,4594,655,691,4459,73,335,1972,0,529,1550,0,1212,23,93,0,367,242,0,350,33,97,7,1223,452,133,0,638
"514726064000","32100US514726064000","Portsmouth city; Virginia Beach-Norfolk-Newport News","Portsmouth city; Virginia Beach-Norfolk-Newport News, VA-NC Metro Area (part); Virginia","va","321","00","ACSSF","0010717",,,,,"51",,,"64000",,,,,,,,,,,"47260",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,95311,95311,38276,50188,467,1251,131,1393,3605,95311,91205,36177,49759,434,1248,131,224,3232,4106,2099,429,33,3,0,1169,373,95311,91205,36177,49759,434,1248,131,224,3232,4106,95311,91205,4106,1671,1107,119,109,731,38,134,198,30,155,176,0,176,12,0,0,66,39,0,24,35,0,0,193,40,77,0,76
"514726082000","32100US514726082000","Virginia Beach city; Virginia Beach-Norfolk-Newport News","Virginia Beach city; Virginia Beach-Norfolk-Newport News, VA-NC Metro Area (part); Virginia","va","321","00","ACSSF","0010718",,,,,"51",,,"82000",,,,,,,,,,,"47260",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,450135,450135,300103,85730,1164,29923,295,8935,23985,450135,414092,279288,83234,908,29330,284,784,20264,36043,20815,2496,256,593,11,8151,3721,450135,414092,279288,83234,908,29330,284,784,20264,36043,450135,414092,36043,10814,10669,1584,1619,5017,269,746,811,320,747,2089,35,3229,297,73,139,1129,526,15,588,74,388,0,3111,1470,764,7,870
"534266003180","32100US534266003180","Auburn city; Seattle-Tacoma-Bellevue","Auburn city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","wa","321","00","ACSSF","0009209",,,,,"53",,,"03180",,,,,,,,,,,"42660",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,79110,79110,51890,4005,1497,8810,1648,4467,6793,79110,66279,44803,3894,1439,8800,1607,181,5555,12831,7087,111,58,10,41,4286,1238,79110,66279,44803,3894,1439,8800,1607,181,5555,12831,79110,66279,12831,10702,517,26,11,760,8,77,170,69,13,423,0,393,124,10,0,154,16,0,49,40,0,0,422,166,61,0,195
"534266005210","32100US534266005210","Bellevue city; Seattle-Tacoma-Bellevue","Bellevue city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","wa","321","00","ACSSF","0009210",,,,,"53",,,"05210",,,,,,,,,,,"42660",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,142242,142242,77518,3931,374,50360,398,2901,6760,142242,132416,70807,3852,279,50255,398,666,6159,9826,6711,79,95,105,0,2235,601,142242,132416,70807,3852,279,50255,398,666,6159,9826,142242,132416,9826,5694,434,193,0,1177,75,607,234,68,5,188,0,1215,243,54,126,296,69,0,388,7,24,8,1113,580,226,0,307
"534266022640","32100US534266022640","Everett city; Seattle-Tacoma-Bellevue","Everett city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","wa","321","00","ACSSF","0009211",,,,,"53",,,"22640",,,,,,,,,,,"42660",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,108941,108941,80032,5105,1124,9958,1414,4567,6741,108941,91957,69188,4806,802,9891,1402,140,5728,16984,10844,299,322,67,12,4427,1013,108941,91957,69188,4806,802,9891,1402,140,5728,16984,108941,91957,16984,12930,612,260,265,1618,0,584,420,223,0,391,0,506,230,0,71,75,45,0,78,0,7,0,793,344,186,0,263
"534266035415","32100US534266035415","Kent city; Seattle-Tacoma-Bellevue","Kent city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","wa","321","00","ACSSF","0009212",,,,,"53",,,"35415",,,,,,,,,,,"42660",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,128057,128057,61872,16372,1670,25650,2067,11794,8632,128057,107500,55960,15858,972,25380,2058,177,7095,20557,5912,514,698,270,9,11617,1537,128057,107500,55960,15858,972,25380,2058,177,7095,20557,128057,107500,20557,16262,531,282,147,1900,93,309,567,15,61,805,50,767,36,25,70,84,88,0,280,0,102,82,668,289,148,0,231
"534266038038","32100US534266038038","Lakewood city; Seattle-Tacoma-Bellevue","Lakewood city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","wa","321","00","ACSSF","0009213",,,,,"53",,,"38038",,,,,,,,,,,"42660",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,59606,59606,34998,7470,1064,5012,1497,3208,6357,59606,49815,30369,6942,902,4980,1367,65,5190,9791,4629,528,162,32,130,3143,1167,59606,49815,30369,6942,902,4980,1367,65,5190,9791,59606,49815,9791,7408,875,85,0,643,0,23,25,0,374,221,0,132,0,9,27,0,28,0,58,0,10,0,648,301,201,0,146
